name,type,rating,count,address,comment
Tiệm cây Người Làm Vườn,·  · Quán cà phê,"4,7",-87,55 Sương Nguyệt Anh,Do đi sáng chủ nhật nên không có mưa và không khí buổi sáng rất tốt 💯
Tonkin Specialty Coffee,·  · Quán cà phê,"4,9","(3,6 N)",91 Lý Tự Trọng,"Coffee ngon, chỗ ngồi chill và yên tĩnh, phù hợp đi với bạn bè"
See'm Coffee & Rooftop Quận 1,·  · Quán cà phê,"4,9",-47,85 Nguyễn Văn Thủ,"nước ngon, nhân viên nhiệt tình, quán view đẹp"
Haru Cafe,·  · Quán cà phê,"4,8",-369,"Chung cư, Tôn Thất Đạm","Nước vừa miệng, bánh ngon, nhân viên tận tình, mèo dễ thương ❤️"
The Balcony Coffee,·  · Quán cà phê,"4,8",-174,26 Lý Tự Trọng,"Rất ấn tượng với món uống vừa ngon vừa đẹp, nên thử bánh tôm nhé"
,,,,,
Hemmat Café,·  · Quán cà phê,"4,2",-314,189/B4 Đ. Cống Quỳnh,"Quán có vị trí khá đẹp, view rất đẹp và thức uống rất dễ cảm nhận!"
Soo Kafe Bến Thành,·  · Quán cà phê,"4,7","(1,8 N)",35 Phan Chu Trinh,"Không gian vừa, đẹp, ngồi chill chill, hay làm việc đều ổn."
Beanthere Cafe - Hồ Hảo Hớn,·  · Quán cà phê,"4,5",-907,42 Hồ Hảo Hớn,Menu đa dạng nhưng nước mình uống thấy bình thường ko ấn tượng lắm.
OKKIO Caffe - Tự Do (2nd floor),·  · Quán cà phê,"4,6",-407,151 Đồng Khởi,Giá cao hơn so với mặt bằng nhưng  cũng ổn.
Đạm Cafe & Kitchen,·  · Quán cà phê,"4,9",-292,69 Tôn Thất Đạm,"Sau đó bạn mình nhắn nói fai uống món oatmilk coffee ở đó nha, siêu ngon!"
BARXIU COFFEE | Nguyễn Trãi,·  · Quán cà phê,"4,8",-717,"Chung cư 143, Nguyễn Trãi","best service, quán có bánh ngon, matcha latte ngon ạ"
Little HaNoi Egg Coffee (Le Lai),· Quán cà phê,"4,9",-610,212 Lê Lai," trứng ở đây 10/10, ngon nhất ở HCM rồi."
CATFE,·  · Quán cà phê,"4,8","(2,9 N)",119 Nguyễn Thị Minh Khai,"Có chổ đổ xe hơi ở cạnh bên cách vài căn, mèo đẹp, nhân viên nhiệt tình."
Oromia Coffee & Lounge,·  · Quán cà phê,"4,0",-740,85 Phan Kế Bính,"Nước ngon, view đẹp, đi buổi sáng nên không gian khá tốt, yên tĩnh,"
Cà phê Linh,·  · Quán cà phê,"4,5","(1,5 N)",1 Trương Định,"Góc view đẹp, đồ uống chưa có món đặc sắc"
rêu.coffee,·  · Quán cà phê,"4,5",-412,46 Đ. Trịnh Văn Cấn,"Nhạc Acoustic , menu nước uống phong phú, nhân viên lịch sự, nhiệt tình."
Tiệm cà phê Linh,·  · Quán cà phê,"4,3",-740,118 Bùi Thị Xuân,"Có nhiều góc chụp hình đẹp,chill chill,  phố,  xe qua lại."
Kai Coffee - Nguyễn Thái Bình,·  · Quán cà phê,"4,3","(1,9 N)",139 Nguyễn Thái Bình,Tốt nhất đi sáng sớm uống  SG ở sân thượng .
Paper & I,·  · Quán cà phê,"4,2",-536,152 Nam Kỳ Khởi Nghĩa,"View ban công & view trong nhà đều đẹp, mưa chill."
Good Days Tea & Coffee,·  · Quán cà phê,"4,5",-946,"Cafe apartment, 42 Nguyễn Huệ",View quán còn nhìn ra được toà nhà biểu tượng Bitexco của TP.
,,,,,
,,,,,
BARXIU COFFEE | Nguyễn Trãi,·  · Quán cà phê,"4,8",-717,"Chung cư 143, Nguyễn Trãi","best service, quán có bánh ngon, matcha latte ngon ạ"
Đạm Cafe & Kitchen,·  · Quán cà phê,"4,9",-292,69 Tôn Thất Đạm,"Sau đó bạn mình nhắn nói fai uống món oatmilk coffee ở đó nha, siêu ngon!"
Little HaNoi Egg Coffee (Le Lai),· Quán cà phê,"4,9",-610,212 Lê Lai," trứng ở đây 10/10, ngon nhất ở HCM rồi."
Oromia Coffee & Lounge,·  · Quán cà phê,"4,0",-740,85 Phan Kế Bính,"Nước ngon, view đẹp, đi buổi sáng nên không gian khá tốt, yên tĩnh,"
Cà phê Linh,·  · Quán cà phê,"4,5","(1,5 N)",1 Trương Định,"Góc view đẹp, đồ uống chưa có món đặc sắc"
rêu.coffee,·  · Quán cà phê,"4,5",-412,46 Đ. Trịnh Văn Cấn,"Nhạc Acoustic , menu nước uống phong phú, nhân viên lịch sự, nhiệt tình."
Tiệm cà phê Linh,·  · Quán cà phê,"4,3",-740,118 Bùi Thị Xuân,"Có nhiều góc chụp hình đẹp,chill chill,  phố,  xe qua lại."
Kai Coffee - Nguyễn Thái Bình,·  · Quán cà phê,"4,3","(1,9 N)",139 Nguyễn Thái Bình,Tốt nhất đi sáng sớm uống  SG ở sân thượng .
Paper & I,·  · Quán cà phê,"4,2",-536,152 Nam Kỳ Khởi Nghĩa,"View ban công & view trong nhà đều đẹp, mưa chill."
Good Days Tea & Coffee,·  · Quán cà phê,"4,5",-946,"Cafe apartment, 42 Nguyễn Huệ",View quán còn nhìn ra được toà nhà biểu tượng Bitexco của TP.
