name,type,rating,count,address,comment,lat,lon,geometry
Tiệm cây Người Làm Vườn,Quán cà phê,4.7,87.0,"55 Sương Nguyệt Anh, Quận 1, Thành phố Hồ Chí Minh",Do đi sáng chủ nhật nên không có mưa và không khí buổi sáng rất tốt 💯,10.7716658,106.6888632,POINT (106.6888632 10.7716658)
Tonkin Specialty Coffee,Quán cà phê,4.9,3600.0,"91 Lý Tự Trọng, Quận 1, Thành phố Hồ Chí Minh","Coffee ngon, chỗ ngồi chill và yên tĩnh, phù hợp đi với bạn bè",10.7744477,106.697708,POINT (106.697708 10.7744477)
See'm Coffee & Rooftop Quận 1,Quán cà phê,4.9,47.0,"85 Nguyễn Văn Thủ, Quận 1, Thành phố Hồ Chí Minh","nước ngon, nhân viên nhiệt tình, quán view đẹp",10.7890772,106.6981947,POINT (106.6981947 10.7890772)
The Balcony Coffee,Quán cà phê,4.8,174.0,"26 Lý Tự Trọng, Quận 1, Thành phố Hồ Chí Minh","Rất ấn tượng với món uống vừa ngon vừa đẹp, nên thử bánh tôm nhé",10.7781958,106.701136,POINT (106.701136 10.7781958)
Soo Kafe Bến Thành,Quán cà phê,4.7,1800.0,"35 Phan Chu Trinh, Quận 1, Thành phố Hồ Chí Minh","Không gian vừa, đẹp, ngồi chill chill, hay làm việc đều ổn.",10.7725434,106.6971552,POINT (106.6971552 10.7725434)
Beanthere Cafe - Hồ Hảo Hớn,Quán cà phê,4.5,907.0,"42 Hồ Hảo Hớn, Quận 1, Thành phố Hồ Chí Minh",Menu đa dạng nhưng nước mình uống thấy bình thường ko ấn tượng lắm.,10.759873,106.693992,POINT (106.693992 10.759873)
OKKIO Caffe - Tự Do (2nd floor),Quán cà phê,4.6,407.0,"151 Đồng Khởi, Quận 1, Thành phố Hồ Chí Minh",Giá cao hơn so với mặt bằng nhưng  cũng ổn.,10.7758733,106.7034298,POINT (106.7034298 10.7758733)
Đạm Cafe & Kitchen,Quán cà phê,4.9,292.0,"69 Tôn Thất Đạm, Quận 1, Thành phố Hồ Chí Minh","Sau đó bạn mình nhắn nói fai uống món oatmilk coffee ở đó nha, siêu ngon!",10.7713047,106.7029679,POINT (106.7029679 10.7713047)
CATFE,Quán cà phê,4.8,2900.0,"119 Nguyễn Thị Minh Khai, Quận 1, Thành phố Hồ Chí Minh","Có chổ đổ xe hơi ở cạnh bên cách vài căn, mèo đẹp, nhân viên nhiệt tình.",10.7735173,106.6893951,POINT (106.6893951 10.7735173)
Oromia Coffee & Lounge,Quán cà phê,4.0,740.0,"85 Phan Kế Bính, Quận 1, Thành phố Hồ Chí Minh","Nước ngon, view đẹp, đi buổi sáng nên không gian khá tốt, yên tĩnh,",10.790062,106.699164,POINT (106.699164 10.790062)
Tiệm cà phê Linh,Quán cà phê,4.3,740.0,"118 Bùi Thị Xuân, Quận 1, Thành phố Hồ Chí Minh","Có nhiều góc chụp hình đẹp,chill chill,  phố,  xe qua lại.",10.7702003,106.6887944,POINT (106.6887944 10.7702003)
Paper & I,Quán cà phê,4.2,536.0,"152 Nam Kỳ Khởi Nghĩa, Quận 1, Thành phố Hồ Chí Minh","View ban công & view trong nhà đều đẹp, mưa chill.",10.7783532,106.6963208,POINT (106.6963208 10.7783532)
Good Days Tea & Coffee,Quán cà phê,4.5,946.0,"Cafe apartment, 42 Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh",View quán còn nhìn ra được toà nhà biểu tượng Bitexco của TP.,10.7740557,106.7041347,POINT (106.7041347 10.7740557)
MeTrang Coffee - 1A Công Trường Mê Linh,Quán cà phê,4.5,580.0,"1a Công trường Mê Linh, Quận 1, Thành phố Hồ Chí Minh",Những món ăn và thức uống đẹp mắt cũng ngon miệng.,10.776086,106.706414,POINT (106.706414 10.776086)
The Running Bean Mạc Thị Bưởi - Coffee and Brunch,Quán cà phê,4.7,2400.0,"33 Mạc Thị Bưởi, Quận 1, Thành phố Hồ Chí Minh","Không gian đẹp, đồ ăn và coffee ngon, nhân viên nhiệt tình",10.7756288,106.7050314,POINT (106.7050314 10.7756288)
Tiên Lãng Coffee CS3 - Cà Phê Điếu Cày - Thuốc lào Quận 1,Quán cà phê,5.0,507.0,"196 Võ Văn Kiệt, Quận 1, Thành phố Hồ Chí Minh","view đẹp, nhân viên nhiệt tình, menu hợp lí,  rất tuyệt",10.7672295,106.7017141,POINT (106.7017141 10.7672295)
GÓC cà phê ☕️,Quán cà phê,3.7,442.0,"50 Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",Quán 7/10- nhân viên 7/10 .. không gian thoát mát … đồ uống 8/10,10.7693136,106.6998062,POINT (106.6998062 10.7693136)
Rang Rang Coffee - Hai Bà Trưng,Quán cà phê,4.2,631.0,"74 Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh",Trong menu có món Doppio espresso 60k nhưng gọi solo espresso cũng 60k!,10.7783472,106.7038891,POINT (106.7038891 10.7783472)
View Đẹp,Quán cà phê,4.7,6.0,"159 Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh","thoáng mát, sạch đẹp
nhân viên nhiệt tình
Giá ok",10.7691149,106.6944326,POINT (106.6944326 10.7691149)
Dinh Độc Lập Cafe - 106 Nguyễn Du,Quán cà phê,4.2,161.0,"106 Nguyễn Du, Quận 1, Thành phố Hồ Chí Minh","Quán khá đẹp,  khá ngon nhưng giá cũng tương đối cao.",10.77658435,106.69728373923161,POINT (106.69728373923161 10.77658435)
1991 Rooftop Coffee & More,Quán cà phê,4.7,122.0,"37/4 Đinh Công Tráng, Quận 1, Thành phố Hồ Chí Minh","View đẹp, nước ngon, nhân viên nhiệt tình, nên trải nghiệm, keo nha mom",10.7902646,106.6919979,POINT (106.6919979 10.7902646)
This & That Coffee and Tea,Quán cà phê,4.2,303.0,"59 Phạm Viết Chánh, Quận 1, Thành phố Hồ Chí Minh","Bánh crepe tiramisu, phô mai, trà xanh ngon: 65k/slide khá lớn.",10.7671292,106.6842543,POINT (106.6842543 10.7671292)
OKKIO Caffe - Lê Lợi (2nd floor),Quán cà phê,4.6,1200.0,"120 - 122 Lê Lợi, Quận 1, Thành phố Hồ Chí Minh",☕️ Đồ uống tạm được: Mình thích bạc xĩu nhưng không thích banana latte.,10.7725238,106.698948,POINT (106.698948 10.7725238)
Cà phê Cô Ba Đồng Khởi,Quán cà phê,4.3,1500.0,"4-6 Đồng Khởi, Quận 1, Thành phố Hồ Chí Minh","Nước ổn, bánh crepe đào ngon, view đẹp, gía hơi nhĩn 1 hơn chút.",10.776248848042945,106.70287443808908,POINT (106.70287443808908 10.776248848042945)
Bâng Khuâng Café,Quán cà phê,4.3,627.0,"2nd floor, 9 Thái Văn Lung, Quận 1, Thành phố Hồ Chí Minh",Quán cũng có khách nước ngoài đến chứng tỏ quán cũng được tìm kiếm.,10.7787019,106.7052509,POINT (106.7052509 10.7787019)
Cà Phê Cô Ba Thì,Quán cà phê,4.3,63.0,"30 Tôn Thất Tùng, Quận 1, Thành phố Hồ Chí Minh","View quá đẹp, không gian nhộn nhịp & dễ thương, menu độc & lạ.",10.769948,106.688637,POINT (106.688637 10.769948)
Cheese Coffee - Công Trường Lam Sơn,Quán cà phê,4.4,350.0,"9 Công trường Lam Sơn, Quận 1, Thành phố Hồ Chí Minh","ngon
Nhân viên nhiệt tình
Không gian nhỏ nhỏ xinh xinh",10.77680625,106.70321295455926,POINT (106.70321295455926 10.77680625)
11:11 cafe,Quán cà phê,3.9,145.0,"144/7 Pasteur, Quận 1, Thành phố Hồ Chí Minh","Mình ăn brownie với loại bánh đen đen gì đấy đều ngon
Capu k ngon.",10.770181520755065,106.70279680630387,POINT (106.70279680630387 10.770181520755065)
Cà Phê Trứng 3T,Quán cà phê,4.0,1100.0,"2B Ngô Văn Năm, Quận 1, Thành phố Hồ Chí Minh",Một trong những quán  ngon và đẹp ở Sài Gòn đáng để trải nghiệm.,10.780697417344657,106.70661638519681,POINT (106.70661638519681 10.780697417344657)
The 15 Minutes Coffee & Tea,Quán cà phê,4.7,71.0,"1-1a Tôn Đức Thắng, Quận 1, Thành phố Hồ Chí Minh","Rất thích không gian này, vừa  đẹp nhưng rất yên tĩnh.",10.784982067746919,106.70342603029093,POINT (106.70342603029093 10.784982067746919)
